,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción,Tipo puesto,lat,lon
108,Blu Selection,Business Analyst (English) – Temp contract,Barcelona, 1 semana,79,Algo de responsabilidad,Recursos humanos,Jornada completa,Gestión de proyectos,"The Company.

Our Client is an international Shared Service Center based in Barcelona. They provide outstanding services for companies all over the world. They aim to create opportunities to reach the full potential of people.

Tasks
The Job.

As a Business Analyst your Responsibilities will be to:

– Collaborate with the Product Owner and Solution Architect, gathering detailed business requirements and developing user stories – Write and document user stories that are clear, concise and easy-to-understand for the business and Global Process Owners, while sufficiently comprehensive, structured and technically-oriented to be translated into technical solutions by the development team – Communicate efficiently and work together within a multi-stream program, fostering the open and collaborative culture and act as a bridge between the different streams – Capture the process impact and functional impact of each sprint, optimizing the BA inputs for functional test preparation and execution – Support User Acceptance Testing; providing key inputs to UAT scripts as well as executing part of the UAT – Provide support to end users during UAT sessions

Requirements

Your Profile.

– You have at least 3 to 5 years of experience as a business analyst or assuming Business analysis responsibility as part of your role – You have previous successful experience in the consultancy sector in a customer facing role – You have experience with salesforce – You speak fluently English and another EU languages – You are familiar with Agile methodology – You are analytical, creative and curious mind – You have excellent organization skills and the ability to work under pressure & manage deadlines

Benefits

The Offer.

– Temporary contract of 12 months with the possibility to stay regarding your performance – Salary based on your level of experience + additional benefits (meal vouchers, life insurance, pension plan, etc.) – Career opportunities – International and multicultural environment – A company with a worldwide reputation – Start date: ASAP
Nivel de experiencia
Algo de responsabilidad
Sector
Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Gestión de proyectos",Data Analyst,41.38792,2.1699189999999997
109,Tech Data,Business Analyst,Barcelona, 2 semanas,1441,no_data,Equipos informáticos Software Servicios y tecnologías de la información,Jornada completa,Tecnología de la información,"Job purpose

Tech Data is at the forefront of enabling the IT channel transformation in how cloud is bought and sold in the small, medium and enterprise sized business segments. As a Business Analyst you will have the exciting opportunity to deliver on our cloud platforms strategy by identifying, vetting, and addressing business needs across Tech Data regions and empowering stakeholders by delivering documentation, demonstrations and training.

Essential Duties & Responsibilities
Capture, triage and document business needs by connecting with business stakeholders across regions.
Understand new business needs, quantify ROI and manage prioritization across multiple stakeholder requests.
Provide feedback on feature design during grooming, development and post-deployment.
Document functionality for business audiences, including Tech Data vendors and partners.
Create training material and deliver training sessions on new functionalities
Define UAT Test scenarios to be executed during Change Management activities and support business teams during UATs.
Support Product Marketing and Technical Writers with communications around new features.
Provide pre-sales support along with platform and vendor specialists. This including platform presentations to large partners and vendors in front of C-level audiences.

What You Will Need To Succeed In This Role
Experience and knowledge of software design methodologies and tools.
Excellent communication skills, with emphasis on written communications.
Able to work in a fast-paced and multi-tasking environment.
Comfortable working in an international, results driven organisation.
Ability to work effectively at all levels in an organization.
Ability to work as part of a team as well as independently.
Strategic and analytical skills.
Experience with the IT software distribution channel a plus (including large ISVs such as Microsoft, AWS, IBM, etc.)
Experience in e-commerce a plus.
Project management experience a plus.

Qualifications
Bachelor's degree preferred
3+ years of similar experience in a multinational environment.

Working Conditions
Occasional travel within EU and US.
Mostly a remote working position. 100% Remote working at this stage due to Covid.
The statements above are intended to describe the general nature and level of work being performed by people assigned to this job. Other duties may be assigned as needed.

Cultural Competency Requirements:
Within Tech Data diversity is one of our fundamental shared values. We are a multi-cultural environment and we pride ourselves on being a welcoming place of work where we celebrate inclusion and champion people from a multitude of backgrounds.

Join our team to connect the world with the power of technology!
Sector
Equipos informáticos Software Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
110,PPG Industries,IT Business Analyst Senior,Barcelona, 2 semanas,187,Algo de responsabilidad,Productos químicos,Jornada completa,Tecnología de la información,"Anunciado por
Andi Bregu
Talent Acquisition Partner EMEA South - Italy, Iberia, Balcans, Turkey, Hungary & UAE @ PPG Industries
Enviar mensaje InMail
The IT Business Analyst Senior (BA Senior) is a member of the APD (Global Applications and Platform Development) Community of Expertise and whose main responsibility is to provide outstanding support and innovative IT solutions to the PPG business. The APD CoE is recognized as a strategic partner within the organization, and within that, the Business Analyst supports Global and Regional applications (Non ERP) by assisting other Business Analysts with the resolution of system issues.
 Key Responsibilities:
Comprehend PPG’s Applications model and configuration
Assists project teams with developing solutions to meet specific business requirements to improve business processes and participates in project life cycles from inception, development and testing, through implementation
Develop and cultivate effective working relationships with both functional team members and IT personnel
Resolve system incidents and issues, create and update documentation, and participate in or conduct workshops and training sessions for colleagues and Key users
Act as application owner for some applications/platform and project manager (or Product Owner – Agile) for all project related to these applications


Qualifications
A 5-year degree in Information Management, Computer Science or other business-related fields.
Minimum of 5 years’ experience as a business analyst within IT organization.
An outstanding self-starter with a commitment to delivering high quality work in a dynamic fast-paced environment.
Finance and/or Supply Chain and/or Manufacturing (TBD) skills
Basic IT Technical skills; Analytical and conceptual expertise
Waterfall and/or Agile methodology skills.
Excellent communicator in spoken and written English with a diverse workforce across different time zones
Available on working remotely, especially with the communication styles required, and lack of face-to-face time with colleagues and managers.
Tight-knit collaboration and interpersonal abilities
Strong systems and process orientation
Strong desire to build business and functional expertise
Flexibility to adapt in a face paced environment


ABOUT US:
Here at PPG we make it happen, and we seek candidates of the highest integrity and professionalism who share our values, with the commitment and drive to strive today to do better than yesterday – everyday.
 PPG: WE PROTECT AND BEAUTIFY THE WORLD™
Through leadership in innovation, sustainability and color, PPG helps customers in industrial, transportation, consumer products, and construction markets and aftermarkets to enhance more surfaces in more ways than does any other company. To learn more, visit www.ppg.com and follow @ PPG on Twitter.

The PPG Way
Every single day at PPG:
 We partner with customers to create mutual value.
We are insightful, dedicated and proactive. We have intimate knowledge of the market and our customers. We focus on practical solutions that make a difference.
 We are “One PPG” to the world.
We are better and stronger together. We leverage our scale to reach new markets and introduce innovative technologies as we differentiate and disrupt our markets.
 We trust our people every day, in every way.
We enable and empower our people to make the right decisions. We are inclusive, transparent and respectful. Our feedback is clear and actionable.
 We make it happen.
We have a passion for winning. We achieve. We deliver with discipline and integrity. We bring our best energy to our work. We decide and act intelligently and quickly.
 We run it like we own it.
We respect one another by being responsible and accountable. We always act in the best interest of our company, customers, shareholders and our communities.
 We do better today than yesterday – everyday.
We continuously learn. We develop our people to grow our businesses.
 PPG Way: (Click here to learn more about the PPG Way)
PPG vision: http://corporate.ppg.com/Our-Company/PPG-Vision.aspx
We are One PPG: http://one.ppg.com/
 PPG provides equal opportunity to all candidates and employees. We offer an opportunity to grow and develop your career in an environment that provides a fulfilling workplace for employees, creates an environment for continuous learning, and embraces the ideas and diversity of others. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, color, creed, religion, national origin, age, disability status, marital status, veteran status, sexual orientation, gender identity or expression. If you need assistance to complete your application due to a disability, please email recruiting@ppg.com.
 PPG values your feedback on our recruiting process. We encourage you to visit Glassdoor.com and provide feedback on the process, so that we can do better today than yesterday.
 Benefits will be discussed with you by your recruiter during the hiring process.
Nivel de experiencia
Algo de responsabilidad
Sector
Productos químicos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
111,Conexus,Data Science Lead,Barcelona, 1 semana,336,Intermedio,Dotación y selección de personal,Jornada completa,Tecnología de la información,"Conexus are currently working exclusively with a global client who are looking for a Data Science Lead to join their team in Barcelona on a permanent basis.
 We are searching for the following skills / experience:
At least 4 years of experience working as a Data Scientist / Data Analyst
Excellent experience working with Python or R
Excellent experience working with SQL
Strong experience working with CRM systems
Experience working with AB Testing is highly desirable
Exposure to cloud systems (AWS preferred)
Background within Mathematics, Physics, Statistics or Computer Science
Excellent stakeholder management and communication skills
Fluency in English is mandatory
 If this position would be of interest to you or anyone else within your network, please follow the link to apply.
Nivel de experiencia
Intermedio
Sector
Dotación y selección de personal
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
112,Markem-Imaje,Global Quality Data Scientist,Barcelona, 1 mes,710,Algo de responsabilidad,Automación industrial,Jornada completa,Tecnología de la información Análisis Ingeniería,"Are you a specialist in data analysis with extensive experience in collecting, transforming and analyzing data as well as communicating findings across the organization?

In this role, you’ll be… Pivotal in the execution of a three years roadmap to achieve a more preventive, customer focused and data driven Quality approach at Markem-Imaje. This role will specifically focus on Data Analytics and statistical analysis related to Product, Service, Process quality and performance and will be influential in improving those. This position is reporting directly to the Global Quality Shared Services Manager.
You’ll have an opportunity to… work in a cross-functional environment, partnering closely on all levels of the organization to ultimately improve the quality and performance of our products, services and processes using your data analysis, machine learning-based tools and IT skills.
You should possess… a passion for leveraging data to drive decision making across the business and be a forward-thinking individual to look beyond the immediate.

Great package including bonus, career growth and great benefits.

Principal Activities / Duties / Responsibilities:

You will be responsible for managing, extracting, transforming, reporting and visualizing data from a wide variety of sources as it relates to the performance of our products, services and key business processes. Your main responsibilities will include:
•Exploring any and all available data for extraction, transformation, analysis and visualization, incl. proposing new ideas and solutions.
•Design, development, maintenance and improvement of processes and tools for managing, extracting, transforming, reporting and visualization of data.
•Development and maintenance of tools aimed at automation of existing processes and data bases.
•Working closely with end users to translate requirements into data-driven applications and data visualization solutions (e.g. reporting and dashboards).
•Transforming data into value: communicating findings and recommended actions across the entire company in an international environment.

Experience & General Skills:   
•Minimum 5 years of experience in a similar role including experience as Data analyst.
•Bachelor’s degree in business, Science or Engineering/University degree in Data Analysis.
•Mastering programming tools such as SQL, PL/SQL, Python or R.
•Master Excel at an advanced level with Visual Basic. Experience on Power BI is a plus.
•Fluent in written and spoken English.
•Excellent written and verbal communication and the ability to present data to all levels in the organization.
•SAP CS/SD/MM and Lean Six Sigma certification are a plus.
•Independent, quick learner with a very structured approach.
Nivel de experiencia
Algo de responsabilidad
Sector
Automación industrial
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Análisis Ingeniería",Data Analyst,41.38792,2.1699189999999997
113,Vistaprint,"Senior Analyst, Customer Analytics - Europe Remote",Barcelona, 1 semana,257,Algo de responsabilidad,Internet Marketing y publicidad Ingeniería industrial o mecánica,Jornada completa,Otro,"Anunciado por
Sofia Puigtió 2º
Talent Acquisition @Vistaprint - Hiring dreamers, designers and doers
Enviar mensaje InMail
Vistaprint’s Data and Analytics (DnA) organization is working to make our company one of the world’s most well-known and successful data-driven companies. The cross-functional team includes product owners, analysts, technologists, data engineers and more - all focused on providing Vistaprint with information and tools we can use to deliver jaw-dropping customer value. DnA team members are empowered to learn new skills, communicate openly and be active problem-solvers.

What You Will Do

Are you inquisitive by nature with passion about data and technology? You will be part of the creation of Vistaprint’s time-series analysis and forecasting capability! You will explore and visualize data, making recommendations and building scalable data products that help Vistaprint become more data-driven in its planning processes!
Collaborate in a complementary team (e.g. Product Owners, Marketing, Developers) on analyses, bringing forward ideas and insights to drive value for our customers.
Identify trends and drivers, perform exploratory data analyses and present views that will provide visibility into business drivers: Data Exploration, Visualization, and Dashboarding.
Incorporate multiple data sources and methodologies to find opportunities to help us better understand customer behavior and give to product-level demand forecasting: Data Analysis and Modeling.
Design and execute experiments to optimize our forecasting data products for accuracy and usefulness.
Focus on delivering customer value early and often in a fast-paced and agile environment.

Your Qualifications
Bachelor’s degree in Business, Mathematics, Statistics, Computer Science, Engineering, Economics or related field.
Experience with SQL or with another programming languages to support analytics, such as Python or R.
Sophisticated level with exploratory analysis and statistical techniques that are driven to find relevant patterns and trends in the data.
Experience with data modelling, visualization and data exploration tools such as Tableau or Looker, is a plus. And previous experience with time-series or forecasting analysis is desirable.
Minimum 3 years working in an analytics environment.

Why You'll Love Working Here

Being at Vistaprint means that you don’t see work as just a building, a desk or a manufacturing floor. You see it as a chance to take a step forward in your career journey - and your life. We strive to give you everything you need to learn, grow, and succeed. Through innovation, collaboration, and perpetual exposure to what’s next, we’re always pushing boundaries and broadening our horizons. We embrace the chance to operate outside of our comfort zone to discover what we’re capable of. Some might call that a challenge; we just call it another great day at work.

Remote First-Culture

In 2020, Vistaprint adopted a Remote-First operating model and culture. We heard from our team members that having the freedom, autonomy and trust in each other to work from home and, the ability to operate when they are most productive, empowers everyone to be their best and most brilliant self. Vistaprint also provides collaboration spaces for team members to work physically together when it's safe to do so or believe in office working will deliver the best results. Currently we are enabled to hire remote team members in over 20 US States as well as several countries in Europe: Spain, Germany, UK, Czech Republic, the Netherlands and Switzerland.

About Us

As an e-commerce powerhouse, Vistaprint is a dynamic organization that maintains an exciting, entrepreneurial culture. With founder Robert Keane’s return as CEO, we’ve renewed our focus on empowering and helping small businesses. To do this, we create customer value (and delight) through accessible, cutting-edge technology. We thrive on providing opportunities for exploration, collaboration, innovation and growth - for both our customers and our team.

Equal Opportunity Employer

Vistaprint, a Cimpress company, is an Equal Employment Opportunity Employer. All qualified candidates will receive consideration for employment without regard to race, color, sex, national or ethnic origin, nationality, age, religion, citizenship, disability, medical condition, sexual orientation, gender identity, gender presentation, legal or preferred name, marital status, pregnancy, family structure, veteran status or any other basis protected by human rights laws or regulations. This list is not exhaustive and, in fact, in many cases, we strive to do more than the law requires.

Nivel de experiencia
Algo de responsabilidad
Sector
Internet Marketing y publicidad Ingeniería industrial o mecánica
Tipo de empleo
Jornada completa
Funciones laborales
Otro",Data Analyst,41.38792,2.1699189999999997
114,Hays,Digital Team Lead Analyst,Barcelona, 1 semana,412,Intermedio,Consultoría de estrategia y operaciones Marketing y publicidad,Jornada completa,Consultoría,"We are looking for a proactive and determined person to join Digital’s Agency as a Digital Team Lead in Analytics team. You will be the subject matter expert of Digital Analytics in the company and will help our clients understand their digital business using data. You will work with different platforms and tools to find areas for improvement in our clients’ digital assets and will make proposals to increase their performance.

As a Digital Team Lead Analyst you will:

Serve as the subject matter expert in Digital Analytics.
Work to design the digital measurement solutions according to business requirements from clients.
Find insights and turn them into actionable ideas in order to improve the performance of our clients’ digital assets.
Generate data-driven hypotheses, to be tested in A/B and/or multivariate experiments.
Work closely with other Digital Analytics colleagues, as well as with specialists in areas such as UI, UX, creative, development, SEO or Paid Acquisition.
Overview the implementation, configuration and validation of tag management and analytics tools.
Identify business opportunities and prepare ad hoc proposals to potential clients.
Provide training, both internally and to clients.

We’re definitely looking for you if you have:

Bachelor’s degree in Business, Marketing, Statistics or Engineering.
Experience of minimum 3 years in Digital Analytics and Marketing projects, preferably from an agency perspective. Having developed project management tasks in the past is a strong plus.
Strong knowledge of Digital Analytics tools (Google Analytics, Hotjar, CrazyEgg, Adobe Analytics, Matomo, Mixpanel, Google Tag Manager…).
Strong knowledge of Excel and comfortability working with large datasets.
Strong knowledge of testing and personalization tools (Optimize, Optimizely, VWO…).
Knowledge of reporting tools (Data Studio, Tableau, PowerBI…).
Project management skills, proactivity and autonomy.
Fluently spoken and written English. Second language is a plus, especially if it’s Italian.

It would be nice if you had knowledge of:

Marketing tools (Google Ads, Facebook Business Manager, Campaign Manager).
Experience with channel attribution tools.

Benefits

Join us and you will enjoy all this stuff:

Awesome Working Environment.
Work with a Very Talented Team.
Continuous Skills Development.
Prestigious Clients.
Full Gym and Fitness Classes with Special Discounts.
Medical Insurance with Special Discounts.
English/Spanish/Italian classes.
Birthday off.
Nivel de experiencia
Intermedio
Sector
Consultoría de estrategia y operaciones Marketing y publicidad
Tipo de empleo
Jornada completa
Funciones laborales
Consultoría",Data Analyst,41.38792,2.1699189999999997
115,Domestika,Lead Product Data Analyst,Barcelona, 1 mes,220,Algo de responsabilidad,Marketing y publicidad Software Internet,Jornada completa,Tecnología de la información,"At Domestika we are looking for a Lead Product Data Analyst.

We are looking for an experienced Lead Product Data Analyst to help us shape our growing Product Analytics team. You would be part of a brand new adventure at Domestika. This role will put you in a position to bring a positive impact from day 1. We are looking for a candidate that is experienced in a user experience centric product focused. In addition to the conversion of the sale experience, we are strong believers that our Learning Experience at Domestika is key for our success.

You will work directly with all Product Managers, our Directors of Product, and will report to our Director of Data.

We are building a dedicated team that will allow us to support and guide all our Product teams. This team will work hand in hand with stakeholders to create a direct impact on insights that influence the way we build our e-learning platform. We want to embrace everything Data has to offer, finding insights, optimizing our processes and even rethinking them.

As our Lead Product Data Analyst, you will build and lead a team of Data Analysts that matches our needs and product strategy. You will mentor the analysts and create the environment to set the team for success. You will play a key role in our organization with an expectation of proactivity.

Domestika is one of the largest growing creative communities within the creative industry. It all started as a small but dynamic showcase of creative professionals, designed to help them connect and learn from each other.

Years later, born from this core value, Domestika widened its reach by designing and producing online courses for all those who want to learn and improve professionally with the best teachers. The community has grown to more than 5 million people who are constantly curious and passionate about learning new skills.

What does a Lead Product Data Analyst do at Domestika?
Drive for actionable insight gathering, and evangelize a data-driven product culture.
Partner with Domestika’s product leadership in building its product strategy and roadmap.
Work with our product teams in all stages of the product life cycle, from ideation to performance analysis.
Mentor the product analytics team members and set them up for success.
Hire and nurture our Product Data Analysis team.
Support the teams in designing A/B tests and analyzing their results.
Oversee, review and optimize our decisional analytical framework.
Identify opportunities for data enhancement.
Deliver effective presentations of findings and recommendations to multiple levels of stakeholders, creating visual displays of quantitative information.
Actively contribute to our User tracking framework definition and implementation.
Coordinate with other Lead Data Analysts to create synergies between teams.

Requirements
6+ years of experience as a Data Analyst in a B2C company, preferably consumer apps.
3+ years leading a Product focused team of Data Analysts covering a wide range of product topics.
Analytical mindset.
Ability to read and write complex SQL.
Strong organizational skills, attention to detail, and ability to effectively manage projects supporting multiple business partners.
Preferably, a Math/Comp SCI degree or equivalent.
Based within European time zone.
English required at Full professional proficiency.

Would Be a Plus
Familiarity with business intelligence platforms - Periscope, Amplitude, Google Analytics, etc.
Experience in designing events and tagging for analytics.
Ability to work independently, take the initiative and have a high level of ownership.
What do we offer?
Working in one of the leading companies in the creative industry.
A creative, dynamic, exciting, collaborative, and multicultural team.
Balanced work life with a Remote First approach.
A fast-moving environment in which you can hone your skills, learn along with your colleagues, and grow professionally.
An honest salary according to your experience and profile.
Nivel de experiencia
Algo de responsabilidad
Sector
Marketing y publicidad Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información",Data Analyst,41.38792,2.1699189999999997
116,Veepee,Business Analyst.,Barcelona, 1 semana,337,Algo de responsabilidad,Recursos humanos Derecho Servicios financieros,Jornada completa,Desarrollo empresarial Ventas,"The vente-privee group has consolidated its various European brands, together made up of 6000 employees, under one unified conglomerate: Veepee.
This coalescence marks a new chapter in its European history.
With Privalia, vente-exclusive, Designer & Friends, Zlotewyprzedaze, Eboutic and vente-privee, Veepee achieved a billion Euro turnover as of 2018.
Present in 14 countries now, Veepee is taking a leading role in the European digital commerce landscape.
Our 6000 employees have chosen a job at Veepee to spice up their daily lives! Our teams implement new technologies to fuel our strategies, offering our customers the best possible you eager to learn?Veepee offers you a variety of trades to develop your career, enabling you to renew your skills constantly.
Tech, logistics, sales, marketing, sales production: join us on an exciting, digital-centered journey.
In 2018 we launched- the IT community of Veepee.
Our teams are widely distributed within the offices in Paris, Lyon, Nantes, Nice, Barcelona, Brussels, Warsaw, Amsterdam and Tel-Aviv.
Veepee is currently in a context of convergence of the three main IS of vente-privee, privalia and vente-exclusive.
As a Business & Data Analyst in vpTech you will be a part of the Finance Tribe, to develop the new B2C billing factory and ensure the legacy one keeps on working properly.
You will be in contact with: - business key users of Finance around EU to collect group and local requirements and use cases, provide data extracted for different systems, analyse issues and fix data - developers (based in France) to provide user stories and to test the deliverables Your main challenge will be to understand the current model, the group products organisation and their interactions to have a strong understanding about the context and be able to define and execute the roadmap of the product in coordination with the Product requirements:

2 years of experience as a business analyst, Proxy Product Owner, project manager or developer
Redactional and organisational skills (backlog management, specifications, tickets creation, minutes of meetings, flow charts process designs)
Good knowledge of SQL (SQL Server, PostGreSQL) and reporting tools (SSRS)
To have a strong interest for analysis, identification of anomalies and research of solutions
Ability to challenge and find different ways to bring value to business areas
Proactive, organized and team player: you know how to make things happen and you have convictions
Strong interest for business flows, products and new technologies
Passionate and result oriented
Good english level - speaking and writing

Would Be a Plus

Knowledge of Atlassian suite (Jira, Confluence)
Accountancy basic knowledges (in particular in Account Receivables)
Background on Finance Tools
Knowledge of noSQL db (ElasticSearch)
Knowledge of product management and agile method
What we offer: Dynamic and creative environment within international teams The variety of self-education courses on our e-learning platform The participation in meetups and conferences locally and internationally Up to 2-3 days remote per week (now we are working remotely) Video games, beer and quizz parties with colleagues Offices in Barcelona Located in Poblenou @22 Flexible retribution package (including Medical Insurance) Autonomy is a key to success in .
We are boosting the innovation at every step of product development inside Veepee.
In order to reach the group goals in the best and the most efficient way, we stick to the feature team-based structure.
Hence, most of our teams are autonomous and self-managed when it comes to choosing the tech stack and determining the road map.
So, if you are driven by the quality and teamwork, if you want to make an impact, to learn and share knowledge, to be a part of the fast-paced digital environment, check out our tech stack below ***** and start your journey.

Disponibilidad Para Viajar

No

Disponibilidad Para Cambio De Residencia

No
Nivel de experiencia
Algo de responsabilidad
Sector
Recursos humanos Derecho Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas",Data Analyst,41.38792,2.1699189999999997
117,Adevinta,Lead Data Analyst - Trust & Transactions,Barcelona, 4 días,112,Intermedio,Internet,Jornada completa,Ingeniería,"Company Description

Adevinta is a global digital player, the biggest marketplace specialist in Europe. We are a family of local brands – because we believe all great marketplaces are local. Our +30 online marketplaces serve people where they live, acknowledging what’s special about every culture and every place, helping local economies to grow sustainably.

We want to make a positive change in the world by helping everyone and everything find new purpose. We believe every house can be a home, every person has a role to play, and every object can live a second life

With leading generalist marketplaces across Europe, exciting growth companies in Latin America and Eastern Europe a, plus technology hubs in Barcelona and Paris, our teams balance local insights with a global scale to develop innovative digital products and services.

Job Description

The Trust & Transactions tribe will play an instrumental role in supporting marketplaces in our joint mission.

Our Product Portfolio Consists Of Three Strong Products

We will achieve this by working closely with marketplaces to solve their main problems within these domains.
Messaging: Our in-app chat product
Serenity: Our fraud prevention application
Trust: Our product aimed at increasing the trust between buyers and sellers

Responsiblities

You will lead the Insights team formed of 3 data analysts responsible for

We are looking for a proactive lead of Product Data Analytics to help us take Trust and Transactions to the next level.
Measuring the impact of the Trust and Transactions products
Defining experiments and analysing the results and make recommendations
Prepare analysis and reports to help the product teams prioritise improvements
Produce user and product insights to identify opportunities to increase the impact of Trust and Transactions.

Key Responsibilities
Lead the insights team, coach them and help them develop their careers
Provide technical guidance to the data analysts to help them develop their analytical skills and produce sophisticated reports efficiently
Produce hands-on detailed reports to support the business
Help define complex A/B tests to prove product hypotheses
Define and implement processes and best practices that help the team scale up the quantitative insights and data analysis that they produce
Work with your product, engineering and UX colleagues to better understand how data analysis can help them be more effective in their roles
Work with Marketplaces counterparts to understand the end-to-end business impact and identify any gaps
Work with other tribes like Data and Privacy to ensure that the team needs are covered from a infrastructure and tooling perspective
Help the leadership team of Trust and Transactions make business decisions of investment and prioritisation based on data
Be an ambassador of a data driven culture, helping non-data roles to become more self sufficient when analysing data

Technical Skills

Qualifications
Deep knowledge of statistical methods
Advanced knowledge of Python/Scala/R
Experience with Jupyter Notebook
Deep knowledge of SQL
Experience with Data Visualization tools like Tableau, Qlik, Looker, etc.
Experience with experimentation and AB testing
Experience with Agile methodologies
Strong understanding of performance, scalability, and implementation constraints.
You are constantly up to date with the latest data standards and practices
Proactive and can do attitude to overcome challenges and persevere, challenge the status quo and drive continuous improvements
You are a strong team player that believes that the success of the group brings more value than the individual success
You are curious, proactive, and genuinely interested in helping our business partners being successful and delivering value to our end users
Strong stakeholder management skills, used to collaborate in big and complex environments, you are empathetic, diligent and organized.
Having great communication skills, verbal and written in English, as you will be an ambassador of our tribe and of a data driven culture
PLUS
Experience in e-commerce data analysis
Experience in designing events and tagging for analytics
Understanding of Machine Learning algorithms
Experience with Apache Spark
Experience with AWS cloud platform

Additional Information

We can offer you
Play a critical part in defining the marketplace products of tomorrow.
A competitive salary plus benefits package.
Working together with a diverse, international, and highly qualified team at Adevinta.
Friendly company culture where we encourage ourselves and others to try new things, learn and succeed.
Regular learning and training opportunities.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, or disability status.

With over 250 million monthly active users under our belt, global teams and local expertise, we've got a winning combination, so why not take the first step and apply now!
Nivel de experiencia
Intermedio
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería",Data Analyst,41.38792,2.1699189999999997
118,GRUPO NS,"Business Analyst Banca, Barcelona",Barcelona, 1 semana,95,Algo de responsabilidad,Servicios y tecnologías de la información Telecomunicaciones Recursos humanos,Jornada completa,Desarrollo empresarial Ventas,"Compartir Facebook Twitter
Empresa
Grupo NS
Provincia
Barcelona
Localidad
Barcelona
Salario



Tipo de Contratación
Tiempo Completo
Descripción de la Plaza
Business Analyst Banca en Barcelona.
Grupo NS estamos seleccionando un Business Analyst con experiencia en proyectos de implantación en Banca Privada y Gestoras de Fondo con nivel alto de inglés

Grupo NS es una empresa donde se valora tanto el perfil profesional y tecnológico de los trabajadores así como el interés y la aptitud que demuestren a la hora de desarrollar nuevos proyectos en sus diversos clientes.

Por ello necesitamos personas constantes con ganas de evolucionar y aprender responsables y con compromiso

Business Analysis, Búsquedas Relacionadas Empleos en Barcelona Empleos ingles Empleos proyectos Empleos profesional Empleos banca Empleos gestor EMPLEOS RELACIONADOS
Técnic@ Laboral y de Nóminas (freelance)
Ubicación: Barcelona | Provincia: Barcelona Descripción del empleo Buscamos un/a Técnico/a Laboral y de Nóminas freelance, con buenas habilidades comunicativas, dinámico/a, con capacidad de organización y proactivo/a; que desee compaginar... Publicación: 05/02/2021 - Salario: ----------
comercial
Ubicación: Barcelona | Provincia: Barcelona Si te gusta la venta y buscas un plan que te haga ganar un buen sueldo, ofrecemos la posibilidad de trabajar con un equipo dinámico... Publicación: 04/02/2021 - Salario: 1500
Profesor Particular a Domicilio
Ubicación: Barcelona | Provincia: Barcelona Desde APPRENTUS, portal líder para dar clases particulares en España, buscamos profesores. ¡Es gratis, regístrate ahora! Tú decides qué enseñas, cuándo trabajas, cuánto cobras, de... Publicación: 15/02/2021 - Salario: 70
Nivel de experiencia
Algo de responsabilidad
Sector
Servicios y tecnologías de la información Telecomunicaciones Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Desarrollo empresarial Ventas",Data Analyst,41.38792,2.1699189999999997
